trade_date,market_id,daily_usd_volume,daily_trade_count,avg_trade_price,media_volume,desvio_volume
2025-11-27,516861,133344.91999999998,334,0.51476347005988055,16663.68831521738,53119.606543926151
2025-12-02,516861,237331.21999999884,971,0.42418331616889804,16663.68831521738,53119.606543926151
2025-12-06,516861,174399.61999999807,1247,0.45309542822774657,16663.68831521738,53119.606543926151
2025-12-10,516861,145112.59999999998,776,0.34969198582474248,16663.68831521738,53119.606543926151
2025-12-11,516861,161836.84999999992,771,0.1991556368352789,16663.68831521738,53119.606543926151
2025-12-12,516861,263376.39999999985,951,0.26264036698212423,16663.68831521738,53119.606543926151
2025-12-14,516861,293304.02000000031,672,0.05109374851190477,16663.68831521738,53119.606543926151
2025-12-15,516861,479349.77,999,0.2487107107107108,16663.68831521738,53119.606543926151
2025-12-22,516861,161513.91999999975,2522,0.16742664195083234,16663.68831521738,53119.606543926151
2025-12-24,516861,185855.51000000007,4105,0.08501973081607804,16663.68831521738,53119.606543926151
2025-12-29,516861,640947.52999999933,1663,0.3479392603728203,16663.68831521738,53119.606543926151
