market_id,question,event_title,volume,created_at,end_date
1823265,"Bitcoin Up or Down - April 2, 11:05PM-11:10PM ET","Bitcoin Up or Down - April 2, 11:05PM-11:10PM ET",138326.99685399982,2026-04-02 03:12:04.000000 UTC,2026-04-03 03:10:00.000000 UTC
676392,"Bitcoin Up or Down - November 13, 11AM ET","Bitcoin Up or Down - November 13, 11AM ET",138319.921321,2025-11-11 16:00:00.000000 UTC,2025-11-13 17:00:00.000000 UTC
1954716,"Bitcoin Up or Down - April 13, 2:00AM-2:05AM ET","Bitcoin Up or Down - April 13, 2:00AM-2:05AM ET",138298.00693699985,2026-04-12 06:06:51.000000 UTC,2026-04-13 06:05:00.000000 UTC
1075296,"Bitcoin Up or Down - January 1, 12:30PM-12:45PM ET","Bitcoin Up or Down - January 1, 12:30PM-12:45PM ET",138295.423149,2025-12-31 17:32:10.000000 UTC,2026-01-01 17:45:00.000000 UTC
1217256,"Bitcoin Up or Down - January 19, 11:00PM-11:15PM ET","Bitcoin Up or Down - January 19, 11:00PM-11:15PM ET",138284.097066,2026-01-19 04:07:25.000000 UTC,2026-01-20 04:15:00.000000 UTC
557195,"Bitcoin Up or Down - July 18, 12AM ET","Bitcoin Up or Down - July 18, 12AM ET",138283.862526,2025-06-28 20:43:17.000000 UTC,2025-07-18 05:00:00.000000 UTC
1043315,"Bitcoin Up or Down - December 28, 8:15PM-8:30PM ET","Bitcoin Up or Down - December 28, 8:15PM-8:30PM ET",138280.818646,2025-12-28 01:17:18.000000 UTC,2025-12-29 01:30:00.000000 UTC
1403868,"Bitcoin Up or Down - February 22, 6PM ET","Bitcoin Up or Down - February 22, 6PM ET",138255.487777,2026-02-20 23:00:01.000000 UTC,2026-02-23 00:00:00.000000 UTC
1421372,"Bitcoin Up or Down - February 24, 4:45PM-5:00PM ET","Bitcoin Up or Down - February 24, 4:45PM-5:00PM ET",138249.947418,2026-02-23 21:52:04.000000 UTC,2026-02-24 22:00:00.000000 UTC
680092,"Bitcoin Up or Down - November 14, 2:00AM-2:15AM ET","Bitcoin Up or Down - November 14, 2:00AM-2:15AM ET",138248.894898,2025-11-13 07:02:22.000000 UTC,2025-11-14 07:15:00.000000 UTC
1487899,"Bitcoin Up or Down - March 3, 7:55PM-8:00PM ET","Bitcoin Up or Down - March 3, 7:55PM-8:00PM ET",138246.877229,2026-03-03 01:02:00.000000 UTC,2026-03-04 01:00:00.000000 UTC
1884811,"Bitcoin Up or Down - April 6, 8:30PM-8:35PM ET","Bitcoin Up or Down - April 6, 8:30PM-8:35PM ET",138241.39173399957,2026-04-06 00:37:15.000000 UTC,2026-04-07 00:35:00.000000 UTC
