trade_date,market_id,avg_trade_price,variacao_probabilidade,media_variacao,desvio_variacao
2025-01-09,516861,0.34733333333333333,0.52805790579710155,0.16407846514898139,0.14549809114534534
2025-02-23,516861,0.42045098039215689,0.4884537815126051,0.16407846514898139,0.14549809114534534
2025-02-24,516861,0.88238461538461532,0.46193363499245843,0.16407846514898139,0.14549809114534534
2025-02-26,516861,0.9525,0.47495000000000004,0.16407846514898139,0.14549809114534534
2025-03-09,516861,0.243287356321839,0.56321759417321027,0.16407846514898139,0.14549809114534534
2025-03-11,516861,0.59502857142857135,0.56838857142857135,0.16407846514898139,0.14549809114534534
2025-04-10,516861,0.20190909090909093,0.59575757575757582,0.16407846514898139,0.14549809114534534
2025-04-11,516861,0.94397674418604649,0.74206765327695556,0.16407846514898139,0.14549809114534534
2025-04-17,516861,0.27815786842105261,0.45808902046783617,0.16407846514898139,0.14549809114534534
2025-04-19,516861,0.73489702941176449,0.54656373311546824,0.16407846514898139,0.14549809114534534
2025-04-25,516861,0.96579411764705891,0.48846738497379161,0.16407846514898139,0.14549809114534534
2025-04-28,516861,0.48982219999999993,0.476336890909091,0.16407846514898139,0.14549809114534534
2025-05-05,516861,0.45035294117647046,0.469591503267974,0.16407846514898139,0.14549809114534534
2025-05-17,516861,0.89308509574468087,0.69766787720163448,0.16407846514898139,0.14549809114534534
2025-05-23,516861,0.032378378378378384,0.46188704754754739,0.16407846514898139,0.14549809114534534
2025-05-24,516861,0.812214261904762,0.77983588352638356,0.16407846514898139,0.14549809114534534
2025-06-01,516861,0.65676176190476188,0.54007951891410766,0.16407846514898139,0.14549809114534534
2025-06-16,516861,0.82331563157894727,0.46360974922600612,0.16407846514898139,0.14549809114534534
2025-06-23,516861,0.42075,0.46946049122807004,0.16407846514898139,0.14549809114534534
2025-08-17,516861,0.13404081632653059,0.49158121516953251,0.16407846514898139,0.14549809114534534
2025-09-06,516861,0.92219999999999991,0.60109473684210524,0.16407846514898139,0.14549809114534534
2025-09-07,516861,0.22855555555555557,0.69364444444444429,0.16407846514898139,0.14549809114534534
2025-11-08,516861,0.59487234042553261,0.52388096111518778,0.16407846514898139,0.14549809114534534
2025-11-13,516861,0.17859292035398233,0.56477028719318756,0.16407846514898139,0.14549809114534534
