trade_date,avg_trade_price,min_trade_price,max_trade_price,daily_trade_count,daily_usd_volume,rolling_7d_avg_volume
2024-09-17,0.02,0.02,0.02,7,2.8200000000000003,2.8200000000000003
2024-09-18,0.041735294117647065,0.012,0.961,34,35.180000000000007,19.000000000000004
2024-09-19,0.014666666666666666,0.013,0.019,39,34.6,24.200000000000003
2024-09-20,0.45059999999999995,0.015,0.984,40,6045.86,1529.615
2024-09-21,0.40449969999999985,0.019,0.98,10,57.540000000000006,1235.2
2024-09-22,0.63635714285714307,0.021,0.984,56,1310.4600000000012,1247.7433333333336
2024-09-23,0.79059993333333345,0.017,0.984,15,366.38000000000005,1121.8342857142859
2024-09-24,0.23222222222222222,0.017,0.982,9,185.74999999999997,1147.967142857143
2024-09-25,0.02,0.018,0.021,6,42.83,1149.0600000000002
2024-09-26,0.019666666666666666,0.018,0.022,3,23.939999999999998,1147.537142857143
2024-09-27,0.0165,0.015,0.018,4,1.42,284.04571428571444
2024-09-28,0.015125000000000001,0.015,0.016,8,5.89,276.667142857143
2024-09-29,0.016083333333333338,0.016,0.018,24,23.319999999999997,92.79
2024-09-30,0.017133199999999998,0.017,0.018,15,4.4,41.078571428571422
2024-10-01,0.017466666666666665,0.017,0.018,15,9.69,15.927142857142856
2024-10-02,0.03934146341463414,0.008,0.987,41,266.84,47.928571428571423
2024-10-03,0.075,0.015,0.984,33,178.60000000000005,70.022857142857148
2024-10-04,0.015958904109589039,0.015,0.018,73,65.819999999999965,79.222857142857137
2024-10-05,0.018,0.016,0.02,14,15.4,80.581428571428575
2024-10-06,0.019066733333333332,0.018,0.023,15,2.62,77.624285714285719
2024-10-07,0.020428571428571431,0.019,0.023,28,25.159999999999997,80.59
2024-10-08,0.021142857142857144,0.021,0.022,7,7.38,80.26
2024-10-09,0.033791666666666678,0.019,0.977,72,87.51,54.641428571428577
2024-10-10,0.022999866666666667,0.019,0.024,15,26.240000000000006,32.875714285714281
2024-10-11,0.023,0.02,0.024,6,10.95,25.037142857142857
2024-10-12,0.021999333333333333,0.02,0.024,9,4.71,23.51
2024-10-13,0.10343478260869564,0.019,0.978,23,87.570000000000022,35.645714285714291
2024-10-14,0.019644903225806448,0.018,0.022,31,43.430000000000021,38.255714285714291
2024-10-15,0.020660392857142863,0.019,0.022,56,72.489999999999981,47.557142857142864
2024-10-16,0.037148743801652874,0.02,0.978,121,252.7,71.155714285714282
2024-10-17,0.02144294011976048,0.021,0.022,167,186.70000000000005,94.078571428571436
2024-10-18,0.029568965517241377,0.02,0.979,116,282.00000000000017,132.80000000000004
2024-10-19,0.052080596774193508,0.02,0.979,62,270.71999999999991,170.8014285714286
2024-10-20,0.0866818181818182,0.02,0.979,44,164.28000000000003,181.76000000000002
2024-10-21,0.15215895454545456,0.021,0.978,44,2627.72,550.94428571428568
2024-10-22,0.024206689655172416,0.021,0.029,29,53.900000000000006,548.28857142857146
2024-10-23,0.024333095238095237,0.021,0.029,42,48.910000000000011,519.17571428571432
2024-10-24,0.077944425925925917,0.022,0.975,54,4783.0199999999977,1175.7928571428567
2024-10-25,0.066374979166666667,0.025,0.974,48,26.920000000000012,1139.3528571428567
2024-10-26,0.24039622641509437,0.024,0.975,53,4744.5999999999995,1778.4785714285711
2024-10-27,0.024981981981981996,0.023,0.029,111,50.480000000000018,1762.2214285714281
2024-10-28,0.024430209302325583,0.023,0.026,86,16.369999999999987,1389.1714285714281
2024-10-29,0.24806868627450976,0.022,0.975,102,1299.7199999999991,1567.1457142857137
2024-10-30,0.54578259866220735,0.024,0.974,299,689043.78000000014,99994.984285714308
2024-10-31,0.17829491864406788,0.025,0.972001,295,1895.8,99582.5242857143
2024-11-01,0.11558123255813954,0.025,0.974,43,151.46999999999983,99600.317142857166
2024-11-02,0.026750000000000003,0.025,0.029,4,17.32,98924.991428571448
2024-11-03,0.37045445454545445,0.024,0.973999,11,86.259999999999991,98930.102857142876
2024-11-04,0.22162678571428573,0.024,0.975,126,919.27999999999986,99059.090000000026
2024-11-05,0.027632882911392424,0.012,0.974,316,302.96000000000055,98916.695714285728
2024-11-06,0.11746328440366975,0.009,0.985,218,572.55999999999972,563.66428571428571
2024-11-07,0.033231730158730183,0.012,0.986,315,273.79999999999995,331.95
2024-11-08,0.68648395804195794,0.013,0.986,286,50066.930000000015,7462.7300000000023
2024-11-09,0.025426514771877344,0.014,0.983,5348,3102.0800000000181,7903.4100000000044
2024-11-10,0.023756935552710166,0.016,0.981,4686,6383.6499999999969,8803.037142857147
2024-11-11,0.022292429245283022,0.016,0.982,212,161.96999999999997,8694.850000000004
2024-11-12,0.037789208430913337,0.016,0.983,427,704.90000000000066,8752.2700000000041
2024-11-13,0.061567329512894009,0.016,0.982,349,768.54999999999927,8780.2685714285763
2024-11-14,0.01739325521669341,0.017,0.018,623,447.65000000000015,8805.10428571429
2024-11-15,0.074262132686084115,0.017,0.982,618,2531.9900000000107,2014.3985714285752
2024-11-16,0.057482558139534949,0.017,0.982,516,1030.4500000000007,1718.4514285714297
2024-11-17,0.021359550561797766,0.017,0.982,267,302.65,849.73714285714448
2024-11-18,0.032128289473684173,0.017,0.983,608,696.92999999999915,926.16000000000156
2024-11-19,0.071248979591836722,0.016,0.983,490,20409.829999999998,3741.150000000001
2024-11-20,0.17248828125000007,0.017,0.982,512,125159.04999999999,21511.221428571429
2024-11-21,0.022501730103806242,0.017,0.983,578,676.65,21543.935714285715
2024-11-22,0.12631783668341712,0.016,0.983,796,164467.57999999885,44677.591428571264
2024-11-23,0.28584854788418734,0.016,0.983,449,171977.76000000004,69098.635714285556
2024-11-24,0.017372428152492677,0.016,0.018,341,381.32999999999987,69109.875714285547
2024-11-25,0.017436408977556109,0.017,0.018,401,418.94000000000011,69070.1628571427
2024-11-26,0.019573717948717966,0.016,0.984,624,839.25999999999851,66274.36714285698
2024-11-27,0.049887717543859622,0.015,0.984,570,863.86000000000115,48517.911428571271
2024-11-28,0.13023699421965315,0.01,0.99,519,118649.09999999995,65371.118571428407
2024-11-29,0.012093750000000007,0.01,0.014,448,500.33999999999986,41947.22714285714
2024-11-30,0.013902685520361991,0.011,0.988,442,360.47999999999973,17430.47285714285
2024-12-01,0.015558639676113355,0.011,0.988,247,158.60999999999996,17398.655714285705
2024-12-02,0.0196400616966581,0.011,0.988,389,391.4200000000003,17394.724285714277
2024-12-03,0.01172498541666666,0.011,0.013,480,391.09000000000009,17330.699999999993
2024-12-04,0.015651716904276983,0.011,0.988,491,45940.209999999985,23770.178571428562
2024-12-05,0.076396603395061727,0.01,0.989,648,91204.270000000091,19849.488571428581
2024-12-06,0.4404006180124222,0.013,0.988,322,8524.5399999999972,20995.802857142866
2024-12-07,0.21593103448275866,0.013,0.988,203,1767.2699999999993,21196.772857142867
2024-12-08,0.13344079276315787,0.014,0.985,304,933.34000000000026,21307.44857142858
2024-12-09,0.078847222222222207,0.012,0.986,288,1764.5599999999995,21503.611428571439
2024-12-10,0.073052901023890782,0.012,0.987,586,1790.4500000000003,21703.520000000011
2024-12-11,0.04689444444444444,0.013,0.986,360,3338.3900000000003,15617.545714285727
2024-12-12,0.15920163934426232,0.016,0.983,610,3127.62,3035.1671428571426
2024-12-13,0.1896673640167362,0.017,0.982,478,51053.889999999905,9110.7885714285585
2024-12-14,0.039361010830324915,0.018,0.982,277,606.35000000000161,8944.9428571428434
2024-12-15,0.03410133843212234,0.015,0.983,523,1180.4199999999996,8980.239999999987
2024-12-16,0.15024606195309798,0.015,0.985,2857,35576.820000000087,13810.562857142857
2024-12-17,0.1778483826649426,0.011,0.988,3865,63873.659999999894,22679.592857142841
2024-12-18,0.067476659751037435,0.015,0.984,3856,32332.620000000072,26821.625714285707
2024-12-19,0.030984026213393408,0.013,0.985,4883,35441.019999999909,31437.825714285696
2024-12-20,0.035068983402489484,0.014,0.985,5784,22044.960000000083,27293.692857142865
2024-12-21,0.025010074893009923,0.014,0.986,11216,118724.84000000017,44167.762857142887
2024-12-22,0.015802119839302485,0.011,0.988,11699,18941.090000000127,46705.001428571479
2024-12-23,0.018398269033299153,0.012,0.987,6817,8456.9300000000221,42830.731428571467
2024-12-24,0.017874739614444742,0.015,0.985,11049,7696.99999999994,34805.494285714332
2024-12-25,0.024034324241495555,0.014,0.985,6526,6117.72000000002,31060.508571428611
2024-12-26,0.0398768328445748,0.014,0.985,5797,6120.1000000000495,26871.805714285772
2024-12-27,0.022990054774298784,0.016,0.983,12871,10244.930000000284,25186.087142857232
2024-12-28,0.02125048169556842,0.014,0.98,3633,3662.43000000006,8748.6000000000713
2024-12-29,0.029647265077138853,0.014,0.985,1426,3492.1699999999996,6541.6114285714821
2024-12-30,0.065257752923233367,0.014,0.985,1967,37611.530000000013,10706.554285714337
2024-12-31,0.028359575656058095,0.014,0.985,1791,1661.1499999999767,9844.2900000000573
