market_id,trade_date,price_volatility,avg_price_deviation,max_price_deviation,matched_trades,rolling_7d_avg_deviation
507286,2024-09-17,0,0,0,7,0
507286,2024-09-18,0.16243102197054515,0.027117647058823528,0.92199999999999993,34,0.013558823529411764
507286,2024-09-19,0.0010596258856520348,0,0,39,0.00903921568627451
507286,2024-09-20,0.48547902856816294,0.4325,0.968,40,0.11490441176470588
507286,2024-09-21,0.49488548293834828,0.38359999999999994,0.96,10,0.16864352941176469
507286,2024-09-22,0.46266325584780166,0.61471428571428566,0.968,56,0.24298865546218484
507286,2024-09-23,0.40037600302723769,0.7743998666666666,0.968,15,0.31890454277711083
507286,2024-09-24,0.42311368973887437,0.21266666666666667,0.964,9,0.34928549515806318
507286,2024-09-25,0.0012649110640673528,0,0,6,0.34541154557823128
507286,2024-09-26,0.0020816659994661322,0,0,3,0.34541154557823128
507286,2024-09-27,0.0017320508075688765,0,0,4,0.283625831292517
507286,2024-09-28,0.00035355339059327419,0,0,8,0.228825831292517
507286,2024-09-29,0.0004082482904638627,0,0,24,0.14100950476190474
507286,2024-09-30,0.00035151411270185288,0,0,15,0.03038095238095238
507286,2024-10-01,0.0005163977794943208,0,0,15,0
507286,2024-10-02,0.15172880572852629,0.02375609756097561,0.974,41,0.0033937282229965157
507286,2024-10-03,0.23446708191129945,0.058666666666666652,0.968,33,0.011774680603948895
507286,2024-10-04,0.00038867138949330262,0,0,73,0.011774680603948895
507286,2024-10-05,0.0010377490433255425,0,0,14,0.011774680603948895
507286,2024-10-06,0.0016241745361288992,0,0,15,0.011774680603948895
507286,2024-10-07,0.00095949722283856489,0,0,28,0.011774680603948895
507286,2024-10-08,0.00037796447300922619,0,0,7,0.011774680603948895
507286,2024-10-09,0.11272600928363466,0.013249999999999998,0.954,72,0.010273809523809522
507286,2024-10-10,0.001195228720889059,0,0,15,0.0018928571428571425
507286,2024-10-11,0.0015491933384829666,0,0,6,0.0018928571428571425
507286,2024-10-12,0.0019359754647205625,0,0,9,0.0018928571428571425
507286,2024-10-13,0.27596505478493211,0.083130434782608717,0.956,23,0.013768633540372674
507286,2024-10-14,0.0013299011330380598,0,0,31,0.013768633540372674
507286,2024-10-15,0.0012247848594541214,0,0,56,0.013768633540372674
507286,2024-10-16,0.12248161014730118,0.015801652892561982,0.956,121,0.014133155382167242
507286,2024-10-17,0.0004980524322884273,0,0,167,0.014133155382167242
507286,2024-10-18,0.088921677714808051,0.008258620689655171,0.958,116,0.015312958337832267
507286,2024-10-19,0.17061522126006703,0.030903225806451606,0.958,62,0.019727704881611068
507286,2024-10-20,0.24416576267309389,0.065318181818181817,0.958,44,0.017183097315264368
507286,2024-10-21,0.33121543007970139,0.12986363636363638,0.956,44,0.03573504536721242
507286,2024-10-22,0.0036288187777395115,0,0,29,0.03573504536721242
507286,2024-10-23,0.0030970482627702121,0,0,42,0.033477666382560708
507286,2024-10-24,0.21929315845195452,0.052629629629629616,0.95,54,0.04099618490107923
507286,2024-10-25,0.19105325785007493,0.039416666666666655,0.948,48,0.045447334326366579
507286,2024-10-26,0.39940924354806823,0.21358490566037733,0.95,53,0.071544717162641686
507286,2024-10-27,0.0016235873971043372,0,0,111,0.062213548331472857
507286,2024-10-28,0.0015071403316236234,0,0,86,0.0436616002795248
507286,2024-10-29,0.40522410138652221,0.22352941176470589,0.95,102,0.0755943733887685
507286,2024-10-30,0.47236450767208144,0.519571906354515,0.948,299,0.14981893143941349
507286,2024-10-31,0.3454852494453266,0.14993898983050846,0.944002,295,0.16372026861096761
507286,2024-11-01,0.27793069011268989,0.088046511627906957,0.948,43,0.17066738931971623
507286,2024-11-02,0.00206155281280883,0,0,4,0.14015525993966232
507286,2024-11-03,0.47791354031694139,0.34418163636363636,0.9479979999999999,11,0.18932406513446753
507286,2024-11-04,0.38501337239867611,0.19549192063492057,0.95,126,0.2172514823680276
507286,2024-11-05,0.053457516826059814,0.0029999999999999983,0.948,316,0.18574728068735533
507286,2024-11-06,0.29686117761500819,0.10123849541284406,0.97,218,0.12598536483854519
507286,2024-11-07,0.13229351466291325,0.018323809523809534,0.972,315,0.1071831962233025
507286,2024-11-08,0.4472508352689385,0.67033158041958052,0.972,286,0.19036677747925587
507286,2024-11-09,0.09105906188271494,0.008654451009723254,0.966,5348,0.19160312762350204
507286,2024-11-10,0.065701859107650876,0.0045074690567648342,0.962,4686,0.14307824657966325
507286,2024-11-11,0.066233963483684127,0.0045471698113207521,0.964,212,0.11580042503343471
