market_id,question,hora,trades,volume_usd,preco_medio,preco_min,preco_max
1800026,"Will Bitcoin reach $73,000 on March 31?",2026-04-01 03:00:00.000000 UTC,32,270.0,0.999,0.999,0.999
1800037,"Will Bitcoin reach $72,000 on March 31?",2026-03-31 06:00:00.000000 UTC,9,6.0,0.013,0.01,0.02
1800037,"Will Bitcoin reach $72,000 on March 31?",2026-03-31 07:00:00.000000 UTC,8,397.0,0.136,0.011,0.975
1800037,"Will Bitcoin reach $72,000 on March 31?",2026-03-31 08:00:00.000000 UTC,4,224.0,0.497,0.01,0.986
1800037,"Will Bitcoin reach $72,000 on March 31?",2026-03-31 10:00:00.000000 UTC,1,4.0,0.989,0.989,0.989
1800037,"Will Bitcoin reach $72,000 on March 31?",2026-03-31 11:00:00.000000 UTC,1,0.0,0.01,0.01,0.01
1800037,"Will Bitcoin reach $72,000 on March 31?",2026-03-31 13:00:00.000000 UTC,1,0.0,0.003,0.003,0.003
1800037,"Will Bitcoin reach $72,000 on March 31?",2026-03-31 14:00:00.000000 UTC,5,1.0,0.002,0.001,0.002
1800037,"Will Bitcoin reach $72,000 on March 31?",2026-03-31 16:00:00.000000 UTC,1,0.0,0.006,0.006,0.006
1800037,"Will Bitcoin reach $72,000 on March 31?",2026-03-31 17:00:00.000000 UTC,11,40.0,0.279,0.002,0.997
1800037,"Will Bitcoin reach $72,000 on March 31?",2026-03-31 18:00:00.000000 UTC,4,0.0,0.001,0.001,0.001
1800037,"Will Bitcoin reach $72,000 on March 31?",2026-03-31 19:00:00.000000 UTC,5,2.0,0.01,0.002,0.015
1800037,"Will Bitcoin reach $72,000 on March 31?",2026-03-31 20:00:00.000000 UTC,5,217.0,0.4,0.001,0.99
1800037,"Will Bitcoin reach $72,000 on March 31?",2026-03-31 21:00:00.000000 UTC,12,317.0,0.99,0.99,0.99
1800037,"Will Bitcoin reach $72,000 on March 31?",2026-03-31 23:00:00.000000 UTC,5,7101.0,0.396,0.001,0.99
1800037,"Will Bitcoin reach $72,000 on March 31?",2026-04-01 00:00:00.000000 UTC,4,0.0,0.001,0.001,0.001
1800037,"Will Bitcoin reach $72,000 on March 31?",2026-04-01 01:00:00.000000 UTC,23,41675.0,0.261,0.001,0.999
1800037,"Will Bitcoin reach $72,000 on March 31?",2026-04-01 02:00:00.000000 UTC,14,4083.0,0.928,0.001,0.999
1800037,"Will Bitcoin reach $72,000 on March 31?",2026-04-01 03:00:00.000000 UTC,1,100.0,0.999,0.999,0.999
