trade_date,daily_trade_count,volume_usd,preco_medio,preco_min,preco_max,amplitude_dia
2026-03-01,328,30164.0,0.07,0.003,0.996,0.993
2026-03-02,845,8421.0,0.011,0.004,0.996,0.992
2026-03-03,1444,346820.0,0.218,0.004,0.996,0.992
2026-03-04,1893,226799.0,0.336,0.004,0.996,0.992
2026-03-05,854,17218.0,0.051,0.004,0.995,0.991
2026-03-06,617,48949.0,0.096,0.004,0.995,0.991
2026-03-07,1434,198260.0,0.509,0.004,0.996,0.992
2026-03-08,982,139459.0,0.276,0.004,0.995,0.991
2026-03-09,1076,136475.0,0.227,0.004,0.996,0.992
2026-03-10,946,26558.0,0.181,0.004,0.996,0.992
2026-03-11,2282,1634.0,0.005,0.004,0.996,0.992
2026-03-12,1061,130903.0,0.226,0.004,0.996,0.992
2026-03-13,765,1491.0,0.004,0.004,0.005,0.001
2026-03-14,1878,227590.0,0.317,0.004,0.995,0.991
2026-03-15,1441,1864.0,0.004,0.004,0.005,0.001
2026-03-16,1393,87499.0,0.246,0.004,0.996,0.992
2026-03-17,2142,268817.0,0.438,0.002,0.997,0.995
2026-03-18,923,2294.0,0.002,0.002,0.003,0.001
2026-03-19,867,1923.0,0.002,0.002,0.003,0.001
2026-03-20,836,23198.0,0.194,0.002,0.997,0.995
2026-03-21,892,2164.0,0.002,0.002,0.003,0.001
2026-03-22,1580,94188.0,0.165,0.001,0.998,0.997
2026-03-23,1176,697.0,0.001,0.001,0.002,0.001
2026-03-24,1841,1440.0,0.001,0.001,0.002,0.001
2026-03-25,905,34635.0,0.093,0.001,0.999,0.998
2026-03-26,373,283.0,0.001,0.001,0.001,0.0
2026-03-27,43,57.0,0.001,0.001,0.001,0.0
2026-03-28,28,21.0,0.001,0.001,0.001,0.0
2026-03-29,29,17.0,0.001,0.001,0.001,0.0
2026-03-30,65,20.0,0.001,0.001,0.001,0.0
2026-03-31,35,8.0,0.001,0.001,0.001,0.0
2026-04-01,5,3.0,0.001,0.001,0.001,0.0
