trade_date,daily_trade_count,volume_usd,preco_medio,preco_min,preco_max,amplitude_dia
2025-02-01,31,2433.0,0.544,0.042,0.958,0.916
2025-02-02,11,564.0,0.623,0.042,0.955,0.913
2025-02-03,18,1320.0,0.955,0.952,0.957,0.005
2025-02-04,45,1569.0,0.61,0.042,0.957,0.915
2025-02-05,37,1704.0,0.685,0.043,0.957,0.914
2025-02-06,6,143.0,0.953,0.952,0.955,0.003
2025-02-07,22,763.0,0.665,0.044,0.956,0.912
2025-02-08,88,10460.0,0.622,0.044,0.957,0.913
2025-02-09,26,3654.0,0.67,0.051,0.948,0.897
2025-02-10,58,7721.0,0.577,0.049,0.951,0.902
2025-02-11,65,15138.0,0.869,0.046,0.955,0.909
2025-02-12,43,14575.0,0.932,0.046,0.954,0.908
2025-02-13,38,5748.0,0.859,0.045,0.955,0.91
2025-02-14,54,10575.0,0.785,0.044,0.957,0.913
2025-02-15,18,1316.0,0.449,0.047,0.952,0.905
2025-02-16,28,6661.0,0.79,0.047,0.953,0.906
2025-02-17,41,6002.0,0.842,0.046,0.953,0.907
2025-02-18,72,32850.0,0.777,0.044,0.956,0.912
2025-02-19,59,12310.0,0.893,0.044,0.955,0.911
2025-02-20,57,3189.0,0.794,0.044,0.955,0.911
2025-02-21,14,618.0,0.824,0.05,0.954,0.904
2025-02-22,21,10580.0,0.909,0.05,0.954,0.904
2025-02-23,51,2002.0,0.42,0.048,0.952,0.904
2025-02-24,13,1035.0,0.882,0.048,0.953,0.905
2025-02-25,40,3046.0,0.478,0.048,0.953,0.905
2025-02-26,8,1405.0,0.953,0.951,0.953,0.002
2025-02-27,37,1678.0,0.928,0.049,0.953,0.904
2025-02-28,97,17913.0,0.787,0.042,0.959,0.917
2025-03-01,101,4418.0,0.649,0.042,0.957,0.915
2025-03-02,99,7901.0,0.486,0.037,0.963,0.926
2025-03-03,58,4533.0,0.753,0.04,0.961,0.921
2025-03-04,58,4647.0,0.675,0.036,0.964,0.928
2025-03-05,58,3976.0,0.788,0.037,0.964,0.927
2025-03-06,59,4315.0,0.617,0.02,0.979,0.959
2025-03-07,62,5268.0,0.775,0.022,0.977,0.955
2025-03-08,101,7640.0,0.807,0.024,0.977,0.953
2025-03-09,87,1586.0,0.243,0.024,0.977,0.953
2025-03-10,25,31.0,0.027,0.024,0.03,0.006
2025-03-11,35,1060.0,0.595,0.024,0.976,0.952
2025-03-12,55,1659.0,0.372,0.026,0.975,0.949
2025-03-13,38,500.0,0.253,0.029,0.971,0.942
2025-03-14,36,1544.0,0.422,0.03,0.968,0.938
2025-03-15,42,1447.0,0.523,0.035,0.967,0.932
2025-03-16,73,1232.0,0.596,0.033,0.966,0.933
2025-03-17,60,1037.0,0.439,0.035,0.966,0.931
2025-03-18,28,354.0,0.598,0.035,0.964,0.929
2025-03-19,55,383.0,0.559,0.035,0.963,0.928
2025-03-20,23,575.0,0.601,0.035,0.963,0.928
2025-03-21,52,880.0,0.607,0.033,0.968,0.935
2025-03-22,45,1881.0,0.676,0.032,0.969,0.937
2025-03-23,22,1143.0,0.755,0.032,0.969,0.937
2025-03-24,56,1432.0,0.45,0.031,0.969,0.938
2025-03-25,50,616.0,0.425,0.033,0.965,0.932
2025-03-26,38,612.0,0.5,0.033,0.967,0.934
2025-03-27,30,192.0,0.439,0.034,0.967,0.933
2025-03-28,56,885.0,0.551,0.035,0.967,0.932
2025-03-29,32,1457.0,0.646,0.034,0.967,0.933
2025-03-30,35,238.0,0.567,0.034,0.965,0.931
2025-03-31,125,1490.0,0.63,0.035,0.965,0.93
2025-04-01,244,2179.0,0.496,0.035,0.964,0.929
2025-04-02,77,882.0,0.638,0.035,0.964,0.929
2025-04-03,204,3463.0,0.623,0.034,0.968,0.934
2025-04-04,207,2147.0,0.507,0.034,0.967,0.933
2025-04-05,172,2112.0,0.587,0.033,0.967,0.934
2025-04-06,68,550.0,0.486,0.033,0.967,0.934
2025-04-07,43,276.0,0.446,0.033,0.967,0.934
2025-04-08,43,3881.0,0.815,0.033,0.968,0.935
2025-04-09,33,927.0,0.798,0.032,0.968,0.936
2025-04-10,11,18.0,0.202,0.032,0.967,0.935
2025-04-11,43,1905.0,0.944,0.037,0.967,0.93
2025-04-12,23,1014.0,0.966,0.965,0.966,0.001
2025-04-13,37,2038.0,0.563,0.034,0.966,0.932
2025-04-14,44,5832.0,0.818,0.031,0.968,0.937
2025-04-15,75,3535.0,0.681,0.031,0.968,0.937
2025-04-16,81,7877.0,0.736,0.031,0.969,0.938
2025-04-17,38,1518.0,0.278,0.031,0.968,0.937
2025-04-18,54,2177.0,0.188,0.031,0.969,0.938
2025-04-19,68,293.0,0.735,0.033,0.969,0.936
2025-04-20,93,1030.0,0.697,0.034,0.969,0.935
2025-04-21,41,685.0,0.877,0.032,0.969,0.937
2025-04-22,22,824.0,0.542,0.032,0.967,0.935
2025-04-23,105,1646.0,0.664,0.032,0.968,0.936
2025-04-24,101,1273.0,0.477,0.035,0.966,0.931
2025-04-25,34,1961.0,0.966,0.964,0.966,0.002
2025-04-26,28,497.0,0.966,0.965,0.966,0.001
2025-04-27,44,4614.0,0.966,0.965,0.968,0.003
2025-04-28,45,107.0,0.49,0.03,0.969,0.939
2025-04-29,79,509.0,0.314,0.025,0.974,0.949
2025-04-30,49,414.0,0.277,0.025,0.974,0.949
2025-05-01,40,290.0,0.216,0.025,0.971,0.946
2025-05-02,24,49.0,0.617,0.026,0.973,0.947
2025-05-03,16,178.0,0.972,0.971,0.973,0.002
2025-05-04,18,290.0,0.92,0.032,0.973,0.941
2025-05-05,85,715.0,0.45,0.028,0.973,0.945
2025-05-06,31,210.0,0.546,0.027,0.973,0.946
2025-05-07,105,4361.0,0.557,0.025,0.974,0.949
2025-05-08,44,223.0,0.328,0.025,0.974,0.949
2025-05-09,94,2356.0,0.47,0.026,0.974,0.948
2025-05-10,167,654.0,0.368,0.026,0.973,0.947
2025-05-11,105,487.0,0.352,0.03,0.969,0.939
2025-05-12,95,1752.0,0.159,0.027,0.972,0.945
2025-05-13,134,1823.0,0.353,0.028,0.972,0.944
2025-05-14,118,5603.0,0.334,0.026,0.974,0.948
2025-05-15,144,4876.0,0.355,0.026,0.972,0.946
2025-05-16,151,425.0,0.195,0.025,0.975,0.95
2025-05-17,94,2175.0,0.893,0.029,0.974,0.945
2025-05-18,62,34035.0,0.531,0.027,0.974,0.947
2025-05-19,83,20152.0,0.711,0.027,0.974,0.947
2025-05-20,83,22889.0,0.642,0.023,0.979,0.956
2025-05-21,126,2234.0,0.688,0.028,0.973,0.945
2025-05-22,162,11687.0,0.494,0.028,0.973,0.945
2025-05-23,37,21.0,0.032,0.032,0.036,0.004
2025-05-24,42,839.0,0.812,0.032,0.969,0.937
2025-05-25,80,2385.0,0.839,0.033,0.968,0.935
2025-05-26,89,1505.0,0.684,0.034,0.968,0.934
2025-05-27,52,2569.0,0.536,0.03,0.97,0.94
2025-05-28,83,2207.0,0.291,0.028,0.971,0.943
2025-05-29,44,1112.0,0.394,0.028,0.971,0.943
2025-05-30,39,1158.0,0.151,0.028,0.966,0.938
2025-05-31,107,807.0,0.117,0.028,0.971,0.943
2025-06-01,21,332.0,0.657,0.029,0.971,0.942
2025-06-02,59,6933.0,0.636,0.025,0.975,0.95
2025-06-03,27,1461.0,0.377,0.025,0.974,0.949
2025-06-04,59,1954.0,0.33,0.02,0.979,0.959
2025-06-05,69,6749.0,0.576,0.02,0.98,0.96
2025-06-06,62,2293.0,0.606,0.02,0.979,0.959
2025-06-07,21,1108.0,0.93,0.025,0.976,0.951
2025-06-08,17,560.0,0.752,0.024,0.976,0.952
2025-06-09,40,3015.0,0.666,0.022,0.979,0.957
2025-06-10,50,15374.0,0.709,0.02,0.98,0.96
2025-06-11,74,8777.0,0.462,0.024,0.976,0.952
2025-06-12,63,7975.0,0.567,0.018,0.982,0.964
2025-06-13,45,853.0,0.511,0.027,0.976,0.949
2025-06-14,36,4250.0,0.657,0.026,0.975,0.949
2025-06-15,17,174.0,0.36,0.026,0.973,0.947
2025-06-16,19,65.0,0.823,0.026,0.973,0.947
2025-06-17,44,717.0,0.628,0.027,0.972,0.945
2025-06-18,27,1690.0,0.728,0.026,0.974,0.948
2025-06-19,27,217.0,0.517,0.026,0.973,0.947
2025-06-20,17,240.0,0.305,0.026,0.973,0.947
2025-06-21,24,684.0,0.658,0.026,0.974,0.948
2025-06-22,57,2952.0,0.89,0.024,0.976,0.952
2025-06-23,36,250.0,0.421,0.025,0.976,0.951
2025-06-24,80,1106.0,0.63,0.025,0.975,0.95
2025-06-25,42,1436.0,0.409,0.026,0.972,0.946
2025-06-26,70,839.0,0.405,0.025,0.975,0.95
2025-06-27,142,802.0,0.84,0.026,0.975,0.949
2025-06-28,136,2861.0,0.52,0.026,0.974,0.948
2025-06-29,137,606.0,0.316,0.026,0.973,0.947
2025-06-30,185,2901.0,0.431,0.026,0.973,0.947
2025-07-01,343,18416.0,0.599,0.027,0.973,0.946
2025-07-02,232,4679.0,0.581,0.029,0.971,0.942
2025-07-03,351,7838.0,0.56,0.028,0.972,0.944
2025-07-04,193,2403.0,0.633,0.03,0.969,0.939
2025-07-05,108,4570.0,0.535,0.027,0.973,0.946
2025-07-06,149,3153.0,0.692,0.029,0.972,0.943
2025-07-07,376,4673.0,0.515,0.03,0.969,0.939
2025-07-08,536,4115.0,0.51,0.03,0.969,0.939
2025-07-09,592,14989.0,0.549,0.03,0.97,0.94
2025-07-10,510,5764.0,0.487,0.031,0.969,0.938
2025-07-11,422,8595.0,0.573,0.03,0.971,0.941
2025-07-12,234,4363.0,0.637,0.028,0.972,0.944
2025-07-13,258,5889.0,0.532,0.027,0.972,0.945
2025-07-14,375,9534.0,0.412,0.026,0.974,0.948
2025-07-15,31,298.0,0.363,0.026,0.973,0.947
2025-07-16,249,21616.0,0.555,0.022,0.978,0.956
2025-07-17,328,14038.0,0.489,0.023,0.976,0.953
2025-07-18,375,19534.0,0.512,0.021,0.978,0.957
2025-07-19,347,30635.0,0.622,0.02,0.98,0.96
2025-07-20,341,48409.0,0.501,0.021,0.979,0.958
2025-07-21,221,6755.0,0.601,0.025,0.975,0.95
2025-07-22,259,7497.0,0.564,0.02,0.979,0.959
2025-07-23,268,9182.0,0.567,0.023,0.977,0.954
2025-07-24,191,4243.0,0.538,0.024,0.977,0.953
2025-07-25,197,3675.0,0.469,0.024,0.977,0.953
2025-07-26,399,22334.0,0.587,0.018,0.98,0.962
2025-07-27,252,14105.0,0.727,0.012,0.988,0.976
2025-07-28,142,1530.0,0.494,0.022,0.98,0.958
2025-07-29,192,9479.0,0.44,0.018,0.983,0.965
2025-07-30,175,10086.0,0.53,0.02,0.979,0.959
2025-07-31,185,8954.0,0.445,0.019,0.981,0.962
2025-08-01,180,7285.0,0.377,0.018,0.982,0.964
2025-08-02,199,12755.0,0.347,0.016,0.984,0.968
2025-08-03,136,3438.0,0.4,0.016,0.983,0.967
2025-08-04,265,8996.0,0.356,0.016,0.984,0.968
2025-08-05,125,22261.0,0.435,0.017,0.984,0.967
2025-08-06,89,4472.0,0.397,0.017,0.983,0.966
2025-08-07,60,4227.0,0.484,0.016,0.984,0.968
2025-08-08,124,21387.0,0.734,0.015,0.985,0.97
2025-08-09,91,10583.0,0.761,0.014,0.986,0.972
2025-08-10,155,4564.0,0.559,0.016,0.985,0.969
2025-08-11,226,3842.0,0.462,0.016,0.985,0.969
2025-08-12,110,1810.0,0.412,0.016,0.985,0.969
2025-08-13,96,7629.0,0.621,0.016,0.985,0.969
2025-08-14,184,3105.0,0.521,0.016,0.985,0.969
2025-08-15,97,8591.0,0.615,0.016,0.985,0.969
2025-08-16,127,2076.0,0.626,0.015,0.985,0.97
2025-08-17,49,429.0,0.134,0.015,0.985,0.97
2025-08-18,104,1638.0,0.37,0.014,0.985,0.971
2025-08-19,83,776.0,0.295,0.014,0.986,0.972
2025-08-20,213,4384.0,0.407,0.013,0.986,0.973
2025-08-21,207,3799.0,0.643,0.015,0.986,0.971
2025-08-22,159,2090.0,0.54,0.015,0.986,0.971
2025-08-23,204,2259.0,0.343,0.013,0.986,0.973
2025-08-24,164,1430.0,0.405,0.013,0.987,0.974
2025-08-25,190,2979.0,0.49,0.013,0.987,0.974
2025-08-26,167,2255.0,0.462,0.013,0.986,0.973
2025-08-27,87,913.0,0.417,0.014,0.985,0.971
2025-08-28,134,1916.0,0.5,0.014,0.985,0.971
2025-08-29,53,519.0,0.327,0.013,0.985,0.972
2025-08-30,31,13.0,0.046,0.013,0.983,0.97
2025-08-31,17,16.0,0.071,0.013,0.983,0.97
2025-09-01,43,780.0,0.286,0.013,0.986,0.973
2025-09-02,198,2910.0,0.569,0.015,0.986,0.971
2025-09-03,43,51879.0,0.421,0.011,0.989,0.978
2025-09-04,28,255.0,0.395,0.013,0.985,0.972
2025-09-05,19,120.0,0.321,0.013,0.988,0.975
2025-09-06,15,170.0,0.922,0.013,0.988,0.975
2025-09-07,18,1054.0,0.229,0.012,0.988,0.976
2025-09-08,111,8386.0,0.293,0.01,0.99,0.98
2025-09-09,115,6630.0,0.479,0.01,0.989,0.979
2025-09-10,95,1069.0,0.423,0.01,0.989,0.979
2025-09-11,80,867.0,0.415,0.01,0.99,0.98
2025-09-12,76,1000.0,0.41,0.01,0.989,0.979
2025-09-13,173,1964.0,0.441,0.01,0.989,0.979
2025-09-14,120,909.0,0.272,0.01,0.989,0.979
2025-09-15,166,1349.0,0.347,0.008,0.991,0.983
2025-09-16,100,689.0,0.157,0.008,0.991,0.983
2025-09-17,74,9593.0,0.553,0.009,0.991,0.982
2025-09-18,143,3076.0,0.572,0.008,0.992,0.984
2025-09-19,54,476.0,0.264,0.009,0.99,0.981
2025-09-20,50,1471.0,0.539,0.009,0.991,0.982
2025-09-21,90,1383.0,0.337,0.008,0.992,0.984
2025-09-22,94,1336.0,0.218,0.008,0.991,0.983
2025-09-23,219,1999.0,0.403,0.008,0.992,0.984
2025-09-24,289,3755.0,0.441,0.008,0.991,0.983
2025-09-25,212,3232.0,0.597,0.011,0.99,0.979
2025-09-26,217,3998.0,0.493,0.011,0.989,0.978
2025-09-27,197,2572.0,0.582,0.011,0.989,0.978
2025-09-28,98,2052.0,0.52,0.011,0.988,0.977
2025-09-29,161,2356.0,0.461,0.011,0.988,0.977
2025-09-30,175,3034.0,0.575,0.011,0.988,0.977
2025-10-01,173,4766.0,0.39,0.01,0.989,0.979
2025-10-02,65,2151.0,0.763,0.01,0.989,0.979
2025-10-03,84,5343.0,0.442,0.01,0.989,0.979
2025-10-04,317,17067.0,0.604,0.01,0.99,0.98
2025-10-05,232,6258.0,0.644,0.009,0.991,0.982
2025-10-06,253,7800.0,0.502,0.009,0.991,0.982
2025-10-07,241,10953.0,0.323,0.01,0.99,0.98
2025-10-08,135,13278.0,0.402,0.009,0.991,0.982
2025-10-09,301,4802.0,0.404,0.009,0.99,0.981
2025-10-10,410,13075.0,0.493,0.005,0.995,0.99
2025-10-11,215,7678.0,0.283,0.004,0.996,0.992
2025-10-12,307,11399.0,0.652,0.007,0.992,0.985
2025-10-13,130,7069.0,0.591,0.008,0.992,0.984
2025-10-14,123,4736.0,0.329,0.009,0.992,0.983
2025-10-15,167,41065.0,0.45,0.005,0.995,0.99
2025-10-16,235,7895.0,0.544,0.005,0.994,0.989
2025-10-17,355,7502.0,0.629,0.007,0.992,0.985
2025-10-18,342,31036.0,0.701,0.006,0.994,0.988
2025-10-19,99,8396.0,0.684,0.008,0.993,0.985
2025-10-20,104,9154.0,0.623,0.008,0.991,0.983
2025-10-21,131,5503.0,0.594,0.008,0.992,0.984
2025-10-22,235,87797.0,0.598,0.004,0.995,0.991
2025-10-23,129,12422.0,0.299,0.006,0.993,0.987
2025-10-24,206,10662.0,0.366,0.005,0.995,0.99
2025-10-25,90,3243.0,0.161,0.006,0.994,0.988
2025-10-26,201,2896.0,0.047,0.007,0.993,0.986
2025-10-27,148,7131.0,0.467,0.006,0.994,0.988
2025-10-28,180,6646.0,0.335,0.006,0.993,0.987
2025-10-29,324,9203.0,0.454,0.005,0.994,0.989
2025-10-30,262,16666.0,0.303,0.002,0.997,0.995
2025-10-31,178,7351.0,0.103,0.001,0.998,0.997
2025-11-01,633,11869.0,0.176,0.001,0.998,0.997
2025-11-02,122,6059.0,0.394,0.001,0.998,0.997
2025-11-03,170,9652.0,0.154,0.001,0.998,0.997
2025-11-04,125,29809.0,0.369,0.001,0.998,0.997
2025-11-05,98,13170.0,0.388,0.001,0.998,0.997
2025-11-06,92,17644.0,0.262,0.001,0.999,0.998
2025-11-07,116,12253.0,0.071,0.002,0.997,0.995
2025-11-08,282,48415.0,0.595,0.002,0.997,0.995
2025-11-09,61,9532.0,0.817,0.006,0.997,0.991
2025-11-10,271,37835.0,0.538,0.002,0.997,0.995
2025-11-11,204,28160.0,0.49,0.002,0.997,0.995
2025-11-12,212,39034.0,0.743,0.002,0.997,0.995
2025-11-13,226,6795.0,0.179,0.002,0.997,0.995
2025-11-14,153,23982.0,0.145,0.002,0.997,0.995
2025-11-15,109,141.0,0.002,0.002,0.003,0.001
2025-11-16,150,21154.0,0.056,0.002,0.997,0.995
2025-11-17,136,15631.0,0.236,0.002,0.997,0.995
2025-11-18,168,38941.0,0.589,0.002,0.998,0.996
2025-11-19,185,32237.0,0.621,0.002,0.997,0.995
2025-11-20,143,22255.0,0.591,0.002,0.997,0.995
2025-11-21,96,20797.0,0.655,0.002,0.997,0.995
2025-11-22,110,37257.0,0.906,0.004,0.997,0.993
2025-11-23,161,32997.0,0.712,0.003,0.997,0.994
2025-11-24,94,21881.0,0.627,0.003,0.997,0.994
2025-11-25,84,10013.0,0.465,0.002,0.997,0.995
2025-11-26,134,37239.0,0.692,0.002,0.997,0.995
2025-11-27,334,133345.0,0.515,0.002,0.998,0.996
2025-11-28,147,56685.0,0.72,0.002,0.997,0.995
2025-11-29,199,28083.0,0.398,0.003,0.997,0.994
2025-11-30,1523,20322.0,0.056,0.003,0.997,0.994
2025-12-01,389,22559.0,0.274,0.002,0.997,0.995
2025-12-02,971,237331.0,0.424,0.002,0.997,0.995
2025-12-03,784,69114.0,0.164,0.002,0.998,0.996
2025-12-04,844,3863.0,0.011,0.002,0.997,0.995
2025-12-05,931,23646.0,0.026,0.002,0.998,0.996
2025-12-06,1247,174400.0,0.453,0.001,0.998,0.997
2025-12-07,609,17574.0,0.126,0.001,0.999,0.998
2025-12-08,1639,110476.0,0.353,0.001,0.999,0.998
2025-12-09,617,121090.0,0.273,0.001,0.998,0.997
2025-12-10,776,145113.0,0.35,0.001,0.999,0.998
2025-12-11,771,161837.0,0.199,0.001,0.999,0.998
2025-12-12,951,263376.0,0.263,0.001,0.999,0.998
2025-12-13,503,112945.0,0.202,0.002,0.998,0.996
2025-12-14,672,293304.0,0.051,0.002,0.998,0.996
2025-12-15,999,479350.0,0.249,0.002,0.998,0.996
2025-12-16,1319,47204.0,0.026,0.002,0.997,0.995
2025-12-17,1082,122337.0,0.014,0.002,0.998,0.996
2025-12-18,750,12793.0,0.01,0.003,0.997,0.994
2025-12-19,848,23019.0,0.097,0.003,0.997,0.994
2025-12-20,1075,81921.0,0.136,0.003,0.997,0.994
2025-12-21,1432,60607.0,0.114,0.002,0.998,0.996
2025-12-22,2522,161514.0,0.167,0.001,0.998,0.997
2025-12-23,3066,14986.0,0.032,0.001,0.999,0.998
2025-12-24,4105,185856.0,0.085,0.001,0.999,0.998
2025-12-25,540,357.0,0.001,0.001,0.001,0.0
2025-12-26,209,235.0,0.001,0.001,0.001,0.0
2025-12-27,92,131.0,0.001,0.001,0.01,0.009
2025-12-28,121,35517.0,0.24,0.001,0.999,0.998
2025-12-29,1663,640948.0,0.348,0.001,0.999,0.998
2025-12-30,73,144.0,0.001,0.001,0.001,0.0
2025-12-31,41,129.0,0.001,0.001,0.001,0.0
2026-01-01,9,6.0,0.001,0.001,0.001,0.0
