trade_date,daily_trade_count,volume_usd,preco_medio,preco_min,preco_max,amplitude_dia
2024-12-30,18,19115.0,0.685,0.039,0.961,0.922
2024-12-31,77,8358.0,0.634,0.041,0.957,0.916
2025-01-01,23,2773.0,0.835,0.048,0.957,0.909
2025-01-02,82,4421.0,0.589,0.043,0.958,0.915
2025-01-03,111,11567.0,0.536,0.04,0.959,0.919
2025-01-04,22,3202.0,0.953,0.952,0.954,0.002
2025-01-05,31,715.0,0.691,0.047,0.954,0.907
2025-01-06,51,11039.0,0.775,0.047,0.954,0.907
2025-01-07,60,15704.0,0.652,0.043,0.958,0.915
2025-01-08,46,2001.0,0.875,0.043,0.958,0.915
2025-01-09,3,4.0,0.347,0.043,0.956,0.913
2025-01-10,57,6872.0,0.748,0.042,0.959,0.917
2025-01-11,45,2575.0,0.753,0.042,0.959,0.917
2025-01-12,10,279.0,0.592,0.045,0.956,0.911
2025-01-13,70,6111.0,0.735,0.04,0.959,0.919
2025-01-14,56,2004.0,0.828,0.043,0.959,0.916
2025-01-15,16,2731.0,0.558,0.042,0.959,0.917
2025-01-16,24,709.0,0.462,0.042,0.959,0.917
2025-01-17,24,4864.0,0.5,0.044,0.955,0.911
2025-01-18,96,3359.0,0.5,0.046,0.955,0.909
2025-01-19,206,6591.0,0.705,0.048,0.953,0.905
2025-01-20,90,31023.0,0.705,0.057,0.942,0.885
2025-01-21,52,7060.0,0.568,0.051,0.95,0.899
2025-01-22,113,2195.0,0.71,0.051,0.949,0.898
2025-01-23,46,823.0,0.695,0.051,0.95,0.899
2025-01-24,21,2264.0,0.651,0.05,0.953,0.903
2025-01-25,11,313.0,0.87,0.05,0.953,0.903
2025-01-26,11,226.0,0.54,0.047,0.952,0.905
2025-01-27,15,384.0,0.348,0.047,0.952,0.905
2025-01-28,25,3784.0,0.735,0.046,0.954,0.908
2025-01-29,8,714.0,0.613,0.048,0.953,0.905
2025-01-30,38,4183.0,0.809,0.048,0.953,0.905
2025-01-31,51,14979.0,0.845,0.045,0.955,0.91
