event_title,question,volume,created_at,end_date,z_score
UEFA Champions League Winner ,Will Villarreal win the 2025–26 Champions League?,7892075.764682,2025-07-21 20:58:49.000000 UTC,2026-05-31 00:00:00.000000 UTC,3.21
UEFA Champions League Winner ,Will Eintracht Frankfurt win the 2025–26 Champions League?,7817714.745721,2025-07-21 20:58:50.000000 UTC,2026-05-31 00:00:00.000000 UTC,3.18
UEFA Champions League Winner ,Will PSG win the 2025–26 Champions League?,7806400.34265306,2025-07-21 20:58:38.000000 UTC,2026-05-31 00:00:00.000000 UTC,3.17
2025 National Heads-Up Poker Championship Winner,Will Chris Moneymaker win the 2025 National Heads-Up Poker Championship?,7508482.983987,2025-08-03 16:20:48.000000 UTC,2025-12-31 22:00:00.000000 UTC,3.05
UEFA Champions League Winner ,Will Inter win the 2025–26 Champions League?,7286054.286861,2025-07-21 20:58:43.000000 UTC,2026-05-31 00:00:00.000000 UTC,2.96
2025 National Heads-Up Poker Championship Winner,Will Jason Calacanis win the 2025 National Heads-Up Poker Championship?,6989151.075057,2025-08-03 16:20:58.000000 UTC,2025-12-31 22:00:00.000000 UTC,2.83
Champions League Winner,Will Atalanta win the UEFA Champions League?,6978774.16140899,2024-09-17 17:21:35.000000 UTC,2025-05-31 12:00:00.000000 UTC,2.83
UEFA Champions League Winner ,Will PSV win the 2025–26 Champions League?,6440901.470863,2025-07-21 20:58:52.000000 UTC,2026-05-31 00:00:00.000000 UTC,2.6
2025 National Heads-Up Poker Championship Winner,Will Justin Young win the 2025 National Heads-Up Poker Championship?,6324028.273999,2025-08-03 16:21:25.000000 UTC,2025-12-31 22:00:00.000000 UTC,2.56
2025 National Heads-Up Poker Championship Winner,Will Bryn Kenney win the 2025 National Heads-Up Poker Championship?,6288740.32813,2025-08-03 16:21:32.000000 UTC,2025-12-31 22:00:00.000000 UTC,2.54
UEFA Champions League Winner ,Will Arsenal win the 2025–26 Champions League?,6270676.819398229,2025-07-21 20:58:40.000000 UTC,2026-05-31 00:00:00.000000 UTC,2.53
UEFA Champions League Winner ,Will Bayern Munich win the 2025–26 Champions League?,6135015.8948229179,2025-07-21 20:58:42.000000 UTC,2026-05-31 00:00:00.000000 UTC,2.48
UEFA Champions League Winner ,Will Marseille win the 2025–26 Champions League?,5842226.092289,2025-07-21 20:58:49.000000 UTC,2026-05-31 00:00:00.000000 UTC,2.36
UEFA Champions League Winner ,Will Liverpool win the 2025–26 Champions League?,5535579.6266940227,2025-07-21 20:58:39.000000 UTC,2026-05-31 00:00:00.000000 UTC,2.23
UEFA Champions League Winner ,Will Juventus win the 2025–26 Champions League?,5357464.792264,2025-07-21 20:58:45.000000 UTC,2026-05-31 00:00:00.000000 UTC,2.16
UEFA Champions League Winner ,Will Real Madrid win the 2025–26 Champions League?,5281071.13409185,2025-07-21 20:58:40.000000 UTC,2026-05-31 00:00:00.000000 UTC,2.12
