event_title,question,volume,created_at,end_date,tipo_alerta
Champions League Winner,Will Aston Villa win the UEFA Champions League?,133113813.382904,2024-09-17 17:21:16.000000 UTC,2025-05-31 12:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
Champions League Winner,Will Inter Milan win the UEFA Champions League?,82978657.0443518,2024-09-17 17:27:16.000000 UTC,2025-05-31 12:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
Champions League Winner,Will Red Star Belgrade win the UEFA Champions League?,69281806.2784465,2024-09-17 17:35:44.000000 UTC,2025-05-31 12:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
Champions League Winner,Will Paris Saint-Germain win the UEFA Champions League?,51320576.4557441,2024-09-17 17:30:16.000000 UTC,2025-05-31 12:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
Champions League Winner,Will Bayer Leverkusen win the UEFA Champions League?,46780244.180184,2024-09-17 17:23:02.000000 UTC,2025-05-31 12:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
Champions League Winner,Will Stade Brestois win the UEFA Champions League?,41179694.4249909,2024-09-17 17:38:07.000000 UTC,2025-05-31 12:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
2025 National Heads-Up Poker Championship Winner,Will Rob Riggle win the 2025 National Heads-Up Poker Championship?,38337948.635363,2025-08-03 16:20:53.000000 UTC,2025-12-31 22:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
Champions League Winner,Will Bologna win the UEFA Champions League? ,36952708.8056862,2024-09-17 17:25:01.000000 UTC,2025-05-31 12:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
Champions League Winner,Will Benfica win the UEFA Champions League?,35397837.4947546,2024-09-17 17:24:01.000000 UTC,2025-05-31 12:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
Champions League Winner,Will Slovan Bratislava win the UEFA Champions League?,32130923.31674,2024-09-17 17:36:37.000000 UTC,2025-05-31 12:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
Champions League Winner,Will Monaco win the UEFA Champions League?,31076588.4007154,2024-09-17 17:29:50.000000 UTC,2025-05-31 12:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
Champions League Winner,Will Sturm Graz win the UEFA Champions League?,29584491.9710941,2024-09-17 17:38:33.000000 UTC,2025-05-31 12:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
Champions League Winner,Will Stuttgart win the UEFA Champions League?,29357939.5502645,2024-09-17 17:38:53.000000 UTC,2025-05-31 12:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
UEFA Champions League Winner ,Will Slavia Pragu win the 2025–26 Champions League?,28392439.058395,2025-07-21 20:58:59.000000 UTC,2026-05-31 00:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
Champions League Winner,Will Red Bull Salzburg win the UEFA Champions League?,27714016.7026868,2024-09-17 17:31:50.000000 UTC,2026-04-16 00:19:43.000000 UTC,ALTO_VOLUME_ENCERRADO
Champions League Winner,Will Atletico Madrid win the UEFA Champions League?,27136004.4218702,2024-09-17 17:22:09.000000 UTC,2025-05-31 12:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
2025 National Heads-Up Poker Championship Winner,Will David Williams win the 2025 National Heads-Up Poker Championship?,26661572.0032,2025-08-03 16:21:02.000000 UTC,2025-12-31 22:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
Champions League Winner,Will Girona win the UEFA Champions League?,26451524.6750097,2024-09-17 17:26:54.000000 UTC,2025-05-31 12:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
Champions League Winner,Will Shakhtar Donetsk win the UEFA Champions League?,25469002.1878365,2024-09-17 17:36:10.000000 UTC,2025-05-31 12:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
Champions League Winner,Will Dinamo Zagreb win the UEFA Champions League?,24315628.8213214,2024-09-17 17:26:20.000000 UTC,2025-05-31 12:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
Champions League Winner,Will Sporting CP win the UEFA Champions League?,22953896.156353,2024-09-17 17:37:31.000000 UTC,2025-05-31 12:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
Champions League Winner, Will Feyenoord win the UEFA Champions League?,22723022.6502971,2024-09-17 17:26:37.000000 UTC,2026-04-16 00:19:43.000000 UTC,ALTO_VOLUME_ENCERRADO
2025 National Heads-Up Poker Championship Winner,Will Chef Phillip win the 2025 National Heads-Up Poker Championship?,22533633.258365,2025-08-03 16:21:12.000000 UTC,2025-12-31 22:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
Champions League Winner,Will Young Boys win the UEFA Champions League?,22343123.836472,2024-09-17 17:39:13.000000 UTC,2025-05-31 12:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
UEFA Champions League Winner ,Will Olympiakos win the 2025–26 Champions League?,21360158.2305,2025-07-21 20:58:56.000000 UTC,2026-05-31 00:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
Champions League Winner,Will Club Brugge win the UEFA Champions League?,20699749.799626,2024-09-17 17:26:01.000000 UTC,2025-05-31 12:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
Champions League Winner,Will AC Milan win the UEFA Champions League?,20482954.41667,2024-09-17 17:20:17.000000 UTC,2025-05-31 12:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
Champions League Winner,Will Borussia Dortmund win the UEFA Champions League?,20166955.363376,2024-09-17 17:25:22.000000 UTC,2025-05-31 12:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
Champions League Winner,Will Lille win the UEFA Champions League?,19772120.9330179,2024-09-17 17:27:52.000000 UTC,2025-05-31 12:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
Champions League Winner,Will Celtic win the UEFA Champions League?,19306736.3224968,2024-09-17 17:25:43.000000 UTC,2025-05-31 12:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
Champions League Winner,Will Sparta Prague win the UEFA Champions League?,18106557.5313308,2024-09-17 17:37:09.000000 UTC,2025-05-31 12:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
Champions League Winner,Will Juventus win the UEFA Champions League?,16171963.9601959,2024-09-17 17:27:33.000000 UTC,2025-05-31 12:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
2025 National Heads-Up Poker Championship Winner,Will T.J. Lavin win the 2025 National Heads-Up Poker Championship?,15113495.368893,2025-08-03 16:20:52.000000 UTC,2025-12-31 22:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
2025 National Heads-Up Poker Championship Winner,Will Erick Lindgren win the 2025 National Heads-Up Poker Championship?,14836968.140613,2025-08-03 16:20:56.000000 UTC,2025-12-31 22:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
UEFA Champions League Winner ,Will Sporting win the 2025–26 Champions League?,14482170.27963803,2025-07-21 20:58:51.000000 UTC,2026-05-31 00:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
UEFA Champions League Winner ,Will Ajax win the 2025–26 Champions League?,13373490.72009,2025-07-21 20:58:54.000000 UTC,2026-05-31 00:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
Champions League Winner,Will PSV Eindhoven win the UEFA Champions League?,13261779.2282109,2024-09-17 17:30:40.000000 UTC,2025-05-31 12:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
2025 National Heads-Up Poker Championship Winner,Will Scott Seiver win the 2025 National Heads-Up Poker Championship?,13158088.244989,2025-08-03 16:21:11.000000 UTC,2025-12-31 22:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
UEFA Champions League Winner ,Will Union Saint-Gilloise win the 2025–26 Champions League?,12756397.600714,2025-07-21 20:58:55.000000 UTC,2026-05-31 00:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
UEFA Champions League Winner ,Will Benfica win the 2025–26 Champions League?,12346832.550767,2025-07-21 20:58:51.000000 UTC,2026-05-31 00:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
2025 National Heads-Up Poker Championship Winner,Will Frank Crivello win the 2025 National Heads-Up Poker Championship?,11898449.341827,2025-08-03 16:21:13.000000 UTC,2025-12-31 22:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
UEFA Champions League Winner ,Will Athletic Club win the 2025–26 Champions League?,11867413.991408,2025-07-21 20:58:48.000000 UTC,2026-05-31 00:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
2025 National Heads-Up Poker Championship Winner,Will Josh Arieh win the 2025 National Heads-Up Poker Championship?,10066191.394629,2025-08-03 16:21:00.000000 UTC,2025-12-31 22:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
UEFA Champions League Winner ,Will Monaco win the 2025–26 Champions League?,9616642.535204,2025-07-21 20:58:50.000000 UTC,2026-05-31 00:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
Champions League Winner,Will Liverpool win the UEFA Champions League?,8175076.65724502,2024-09-17 17:28:05.000000 UTC,2026-04-16 00:19:43.000000 UTC,ALTO_VOLUME_ENCERRADO
UEFA Champions League Winner ,Will Villarreal win the 2025–26 Champions League?,7892075.764682,2025-07-21 20:58:49.000000 UTC,2026-05-31 00:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
UEFA Champions League Winner ,Will Eintracht Frankfurt win the 2025–26 Champions League?,7817714.745721,2025-07-21 20:58:50.000000 UTC,2026-05-31 00:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
2025 National Heads-Up Poker Championship Winner,Will Chris Moneymaker win the 2025 National Heads-Up Poker Championship?,7508482.983987,2025-08-03 16:20:48.000000 UTC,2025-12-31 22:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
UEFA Champions League Winner ,Will Inter win the 2025–26 Champions League?,7286054.286861,2025-07-21 20:58:43.000000 UTC,2026-05-31 00:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
2025 National Heads-Up Poker Championship Winner,Will Jason Calacanis win the 2025 National Heads-Up Poker Championship?,6989151.075057,2025-08-03 16:20:58.000000 UTC,2025-12-31 22:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
Champions League Winner,Will Atalanta win the UEFA Champions League?,6978774.16140899,2024-09-17 17:21:35.000000 UTC,2025-05-31 12:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
UEFA Champions League Winner ,Will PSV win the 2025–26 Champions League?,6440901.470863,2025-07-21 20:58:52.000000 UTC,2026-05-31 00:00:00.000000 UTC,ALTO_VOLUME_ENCERRADO
